race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
Asian,ADRD + MCI,"Unfavourable, e2+",1.32,0.83,1.6,0.11042270965736867,-0.3,2.94,3.75,0.74,18.98,FALSE,0.11042,"OR [95% CI] = 3.75 [0.74, 18.98], p = 0.11042"
Asian,ADRD + MCI,"Unfavourable, e3/e3",0.59,0.34,1.76,0.07821869331304733,-0.07,1.25,1.8,0.94,3.48,FALSE,0.07822,"OR [95% CI] = 1.8 [0.94, 3.48], p = 0.07822"
Asian,ADRD + MCI,"Unfavourable, e4+",1.1,0.55,2,0.0455881031696872,0.02,2.17,3,1.02,8.8,FALSE,0.04559,"OR [95% CI] = 3 [1.02, 8.8], p = 0.04559"
Asian,ADRD + MCI,"Favourable, e2+",-1.5,0.78,-1.93,0.05409547035546037,-3.03,0.03,0.22,0.05,1.03,FALSE,0.05410,"OR [95% CI] = 0.22 [0.05, 1.03], p = 0.05410"
Asian,ADRD + MCI,"Favourable, e3/e3",-0.91,0.32,-2.86,0.00419205176595622,-1.53,-0.29,0.4,0.22,0.75,FALSE,0.00419,"OR [95% CI] = 0.4 [0.22, 0.75], p = 0.00419"
Asian,ADRD + MCI,"Favourable, e4+",-0.08,0.4,-0.2,0.8378341787493688,-0.87,0.71,0.92,0.42,2.03,FALSE,0.83783,"OR [95% CI] = 0.92 [0.42, 2.03], p = 0.83783"
Asian,ADRD + MCI,"Intermediate, e2+",-0.7,0.35,-1.98,0.047809706760473455,-1.39,-0.01,0.5,0.25,0.99,FALSE,0.04781,"OR [95% CI] = 0.5 [0.25, 0.99], p = 0.04781"
Asian,ADRD + MCI,"Intermediate, e4+",1.22,0.25,4.94,7.747106280792707e-7,0.74,1.71,3.39,2.09,5.51,FALSE,7.7e-07,"OR [95% CI] = 3.39 [2.09, 5.51], p = 7.7e-07"
NHW,ADRD,"Unfavourable, e2+",-0.03,0.19,-0.14,0.8921157049574404,-0.39,0.34,0.97,0.68,1.41,FALSE,0.89212,"OR [95% CI] = 0.97 [0.68, 1.41], p = 0.89212"
NHW,ADRD,"Unfavourable, e3/e3",0.24,0.07,3.5,4.6630055221144666e-4,0.11,0.38,1.28,1.11,1.46,FALSE,0.00047,"OR [95% CI] = 1.28 [1.11, 1.46], p = 0.00047"
NHW,ADRD,"Unfavourable, e4+",1.11,0.08,14.34,1.2506101129125852e-46,0.96,1.27,3.05,2.62,3.55,FALSE,1.3e-46,"OR [95% CI] = 3.05 [2.62, 3.55], p = 1.3e-46"
NHW,ADRD,"Favourable, e2+",-0.66,0.15,-4.36,1.297709035227458e-5,-0.96,-0.37,0.51,0.38,0.69,FALSE,1.3e-05,"OR [95% CI] = 0.51 [0.38, 0.69], p = 1.3e-05"
