race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
Asian,AD,"Favourable, e3/e3",-0.97,0.47,-2.08,0.03723549983519939,-1.89,-0.06,0.38,0.15,0.94,FALSE,0.03724,"OR [95% CI] = 0.38 [0.15, 0.94], p = 0.03724"
Asian,AD,"Favourable, e4+",0.63,0.44,1.44,0.15063755278692867,-0.23,1.5,1.88,0.79,4.46,FALSE,0.15064,"OR [95% CI] = 1.88 [0.79, 4.46], p = 0.15064"
Asian,AD,"Intermediate, e2+",-0.42,0.45,-0.92,0.355760405967089,-1.31,0.47,0.66,0.27,1.6,FALSE,0.35576,"OR [95% CI] = 0.66 [0.27, 1.6], p = 0.35576"
Asian,AD,"Intermediate, e4+",1.29,0.3,4.28,1.840050309031124e-5,0.7,1.88,3.63,2.01,6.54,FALSE,1.8e-05,"OR [95% CI] = 3.63 [2.01, 6.54], p = 1.8e-05"
Asian,AD,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Black,AD,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Latinx,AD,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
NHW,AD,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Asian,AD + MCI,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Black,AD + MCI,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Latinx,AD + MCI,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
NHW,AD + MCI,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Asian,ADRD,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Black,ADRD,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Latinx,ADRD,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
NHW,ADRD,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Asian,ADRD + MCI,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Black,ADRD + MCI,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
Latinx,ADRD + MCI,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
NHW,ADRD + MCI,"Intermediate, e3/e3 (reference)",0,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA,"OR [95% CI] = 1 [NA, NA], p = NA"
